ID,Card name,Art,Card,Element,Value,Color,Effect,Set,Card description
71,FLOORING UPGRADE,FLOORING UPGRADE card image,Card-Jitsu Cards full 71,Fire,Burbank 9,Red,CJ Block Snow (opponent),1,"""I'm rollin' out some burgundy style,"" says the interior decorator. ""I've got some brand new igloo vibe picked out – a totally awesome empurpled cabin of chic. It's gonna be a partay!"""
72,GADGET ROOM,GADGET ROOM card image,Card-Jitsu Cards full 72,Fire,Burbank 9,Blue,CJ Change Water to Fire (both players),1,"""This is my Gadget Room where I store the numerous inventions that I have been working on,"" explains Gary . ""Testing is very important."""
73,JACKHAMMER,JACKHAMMER card image,Card-Jitsu Cards full 73,Fire,Burbank 10,Yellow,CJ Power Reversal (both players),1,"""Here, I'll demonstrate how it works. You just put on your hat and start to dance ,"" stated the construction penguin. ""I'm not sure how it works. I just know that it does."""
74,JET PACK,JET PACK card image,Card-Jitsu Cards full 74,Fire,Burbank 10,Orange,CJ Discard Snow (opponent),1,"""And this is the Jet Pack , another invention I worked on with a team of scientists,"" Gary continues. ""We initially had a few crash landings, but we've since stabilized the build."""
75,THIN ICE,THIN ICE card image,Card-Jitsu Cards full 75,Fire,Burbank 11,Purple,CJ Discard Red Card (opponent),1,"""My favorite part of Thin Ice is the music. I want it in my igloo because I like how it goes 'beep-ba-beep-beep'. The black puffle in it looks really funny, too."""
76,NIGHT VISION GOGGLES,NIGHT VISION GOGGLES card image,Card-Jitsu Cards full 76,Fire,Burbank 11,Green,CJ Discard Yellow Card (opponent),1,"""Whoopee! I can see in the dark!"" exclaims the penguin wearing fancy solar-powered black and green goggles. ""Instead of black I can see all green! It's the coolest thing ever!"""
77,MIGHTY PLUNGER,MIGHTY PLUNGER card image,Card-Jitsu Cards full 77,Fire,Burbank 12,Red,CJ +2 Power (user),1,"""This is the invention to end all inventions. The Mighty Plunger of Might!"" Says the green penguin. ""With this great invention you will create mighty tremors and mighty rumbles!"""
78,DRAGON,DRAGON card image,Card-Jitsu Cards full 78,Fire,Burbank 12,Blue,CJ -2 Power (opponent),1,"""Hark! Who dost approach my cavern!"" growls a penguin, pretending to be a dragon. ""Wherefore hast though entered mine cave! Make haste or I shall breathest fire!"""
79,SPACE ADVENTURE,SPACE ADVENTURE card image,Card-Jitsu Cards full 79,Snow,Burbank 9,Red,CJ Block Water (opponent),1,"""There is something troublesome about the computer after leaving Planet X,"" Captain Snow thinks to himself. ""And Tin Can 3000 has been acting strange lately..."""
80,TOUR GUIDE,TOUR GUIDE card image,Card-Jitsu Cards full 80,Snow,Burbank 9,Blue,CJ Change Fire to Snow (both players),1,"""And over here we have the Ski Lodge , My buddy and I usually hang out and play Find Four there,"" the guide continues. ""And if you're interested in sports, have I got the place for you ..."""
