# id#, rank#, element, colour, is-power-card, side-effect
# colours = {"r": (0, "red"), "o": (1, "orange"), "y": (2, "yellow"), "g": (3, "green"), "b": (4, "blue"), "p": (5, "purple")}
# elements = {"f": (0, "fire"), "w": (1, "water"), "s": (2, "snow")}
# power = {"n": (False, "not powered"), "y": (True, "powered")}
# side_effect = {"na": (0, "no effect"), "df": (1, "discard fire"), "dw": (2, "discard water"), "ds": (3, "discard snow"),
                 "dr": (4, "discard red"), "do": (5, "discard orange"), "dy": (6, "discard yellow"),
                 "dg": (7, "discard green"), "db": (8, "discard blue"), "dp": (9, "discard purple"),
                 "fs": (10, "fire to snow"), "sw": (11, "snow to water"), "wf": (12, "water to fire"),
                 "bf": (13, "block fire"), "bw": (14, "block water"), "bs": (15, "block snow")}
------------------------------------------------------------
1,3,f,b,n,na,Cart Surfer
2,2,f,g,n,na,Coffee Shop
3,8,f,g,n,na,Astro-Barrier
4,3,f,o,n,na,Hot Chocolate
5,4,f,p,n,na,Landing Pad
6,6,f,p,n,na,Pizza Chef
7,2,f,r,n,na,Paint by Letters
8,7,f,r,n,na,Mine
9,2,f,y,n,na,Construction Worker
10,5,f,y,n,na,Jet Pack Adventure
11,3,s,b,n,na,Gift Shop
12,2,s,g,n,na,Hiking In the Forest
13,5,s,g,n,na,Rescue Squad
14,3,s,o,n,na,Pet Shop
15,4,s,p,n,na,Ski Village
16,8,s,p,n,na,Ice Hockey
17,2,s,r,n,na,Ski Hill
18,6,s,r,n,na,Snowball Fight
19,2,s,y,n,na,Snow Forts
20,7,s,y,n,na,Soccer
21,3,w,b,n,na,Beach
22,5,w,b,n,na,Football
23,2,w,g,n,na,Baseball
24,8,w,g,n,na,Emerald Princess
25,3,w,o,n,na,Bean Counters
26,4,w,p,n,na,Manhole Cover
27,6,w,p,n,na,Newspaper Archives
28,2,w,r,n,na,Underground Pool
29,7,w,r,n,na,Scuba Diving
30,2,w,y,n,na,Ice Fishing
31,2,f,b,n,na,Case of the Missing Coins
32,5,f,b,n,na,Crates and Boxes
33,4,f,g,n,na,Anvil Smith
34,6,f,o,n,na,Halloween
35,3,f,p,n,na,Knight
36,5,f,r,n,na,Black Puffle
37,4,f,y,n,na,Medieval Party
38,2,s,b,n,na,Blue Puffle
39,5,s,b,n,na,Pink Puffle
40,4,s,g,n,na,Green Puffle
41,6,s,o,n,na,Puffle Furniture
42,3,s,p,n,na,Purple Puffle
43,5,s,r,n,na,Red Puffle
44,4,s,y,n,na,Yellow Puffle
45,2,w,b,n,na,Summer Party [1]
46,4,w,g,n,na,Gray Fish
47,6,w,o,n,na,O Berry
48,3,w,p,n,na,Life Ring
