ID	Card name	Art	Card	Element	Value	Color	Set	Comment
1	CART SURFER	CART SURFER card image	Card-Jitsu Cards full 1	Fire	Burbank 3	Blue	1	"Dude, I'm totally gonna get like 500 coins this time," says a penguin ripping down the track. "I run through the cave and get sweet air with my 360s and backflips."
2	COFFEE SHOP	COFFEE SHOP card image	Card-Jitsu Cards full 2	Fire	Burbank 2	Green	1	"Many of our customers come here for some quiet while they read the latest newspaper," explains a staff member. " Ballistic biscotti is our most popular menu item."
3	ASTRO-BARRIER	ASTRO BARRIER card image	Card-Jitsu Cards full 3	Fire	Burbank 8	Green	1	"I remember when Astro-Barrier came out. It was the first arcade game on the island!" recalls an avid gamer in the Lounge . "Have you found the secret levels yet?"
4	HOT CHOCOLATE	HOT CHOCOLATE card image	Card-Jitsu Cards full 4	Fire	Burbank 3	Orange	1	"The trick to a great cup of coffee is the time it takes to pour," explains the Coffee Stop staff. "Not too fast but not too slow, then save some room for marshmallows!"
5	LANDING PAD	LANDING PAD card image	Card-Jitsu Cards full 5	Fire	Burbank 4	Purple	1	"The landing pads around the island are built out of special alloys that disable them from being adversely affected by jet pack heat," explains Gary. "That means they're strong."
6	PIZZA CHEF	PIZZA CHEF card image	Card-Jitsu Cards full 6	Fire	Burbank 6	Purple	1	"First you start with the pizza dough, which gets flattened into pans," the chef continues. "Then it goes down the Pizzatron 3000 line and roasts in the oven."
7	PAINT BY LETTERS	PAINT BY LETTERS card image	Card-Jitsu Cards full 7	Fire	Burbank 2	Red	1	"This one's my favorite story in the Book Room because it's about my favorite day of the year ," he says. "Besides, I love any story that involves aliens and flashlights."
8	MINE	MINE card image	Card-Jitsu Cards full 8	Fire	Burbank 7	Red	1	"The Mine is so cool. I can see all kinds of stalactites on the ceiling," explains the scientist. "Stalactites are those things that look like icicles. Oh wait... they're just icicles."
9	CONSTRUCTION WORKER	CONSTRUCTION WORKER card image	Card-Jitsu Cards full 9	Fire	Burbank 2	Yellow	1	"It's amazing what you can do with a plain old drill," notes a worker on a job site near the coast. "I've seen some nice red ones , but I like my trusty yellow drill. It does just the trick."
10	JET PACK ADVENTURE	JET PACK ADVENTURE card image	Card-Jitsu Cards full 10	Fire	Burbank 5	Yellow	1	"I love going on adventures with my jet pack. I can almost navigate through the entire course without getting a single coin ," boasts the proud pilot. "It's not too easy, though..."
11	GIFT SHOP	GIFT SHOP card image	Card-Jitsu Cards full 11	Snow	Burbank 3	Blue	1	"I come in at least twice a week, I'd say," concludes the shopping penguin, decked out in the latest styles. "The diva glasses and The Sidetied wig are must haves."
12	HIKING IN THE FOREST	HIKING IN THE FOREST card image	Card-Jitsu Cards full 12	Snow	Burbank 2	Green	1	"It's the perfect day for a hike in the Forest," says the penguin, holding her backpack on her shoulders. "Keeping active is really important, plus I love the great outdoors!"
13	RESCUE SQUAD	RESCUE SQUAD card image	Card-Jitsu Cards full 13	Snow	Burbank 5	Green	1	"When you've got a penguin who's stuck in the snow / Just tell 'em exactly where to go / To the Rescue Squad on top of the hill / We know how to help and ya know we will!"
14	PET SHOP	PET SHOP card image	Card-Jitsu Cards full 14	Snow	Burbank 3	Orange	1	"This here is the puffle area, You'll be responsible for caring for these little critters," explains the Pet Shop owner. "The black one over there is a bit of a firecracker."
15	SKI VILLAGE	SKI VILLAGE card image	Card-Jitsu Cards full 15	Snow	Burbank 4	Purple	1	"I usually start a tour here at the Ski Village because it's so close to my tour booth ," explains a tour guide. It's a great place to build a group of tourists, too."
16	ICE HOCKEY	ICE HOCKEY card image	Card-Jitsu Cards full 16	Snow	Burbank 8	Purple	1	It's the day of the big game at the Sports Party as Team Red and Blue square off head-to-head. "This time the trophy belongs to Red!" shouts the challenger as the puck drops.
17	SKI HILL	SKI HILL card image	Card-Jitsu Cards full 17	Snow	Burbank 2	Red	1	"This must be the place she was talking about with all the sledding penguins," says the red penguin. "Now what on earth is that pointy thing up there for?"
18	SNOWBALL FIGHT	SNOWBALL FIGHT card image	Card-Jitsu Cards full 18	Snow	Burbank 6	Red	1	"Here comes a long one!" one penguin shouts. "Yikes! That was close!" shrieks the other penguin. "Guess I'm better with water balloons..."
19	SNOW FORTS	SNOW FORTS card image	Card-Jitsu Cards full 19	Snow	Burbank 2	Yellow	1	"I'm practicing my snowball pitch. I pretend this is the pitcher's mound , then wind up and let it fly. The Snow Forts are the perfect place to test out your pitching arm.
20	SOCCER	SOCCER card image	Card-Jitsu Cards full 20	Snow	Burbank 7	Yellow	1	"Okay, look. Let's get this straight. I know some penguins out west call it a soccer ball, but it's football . Now that you understand the game, ready to try and score a goal?"
21	BEACH	BEACH card image	Card-Jitsu Cards full 21	Water	Burbank 3	Blue	1	"I remember when the Beach opened as though it was yesterday," replies one island veteran. "We threw a big barbecue with the fish we caught. Ahhh... those were golden days..."
22	FOOTBALL	FOOTBALL card image	Card-Jitsu Cards full 22	Water	Burbank 5	Blue	1	"10... 24... 5... hut!" shouts the quarterback as he makes a run for it across the field, racing for the 10-yard line. "Team Red's not gonna win it this time," he thinks as he's running...
23	BASEBALL	BASEBALL card image	Card-Jitsu Cards full 23	Water	Burbank 2	Green	1	"BATTER UP!" shouts the umpire as Team Red's pitcher readies the first throw of the big ball game. "This one's for the Blue Team!" shouts the batter as the ball flies towards the plate...
24	EMERALD PRINCESS	EMERALD PRINCESS card image	Card-Jitsu Cards full 24	Water	Burbank 8	Green	1	"Welcome to my beautiful enchanted castle!" beams the sparkly princess penguin. "I'm looking for my wand, which I seem to have misplaced. Could you help me look for it?"
25	BEAN COUNTERS	BEAN COUNTERS card image	Card-Jitsu Cards full 25	Water	Burbank 3	Orange	1	"Why do they insist on delivering more fish?!" exclaims the employee catching the order from the delivery truck. "Is it just me or are there more fish than java bags here?"
26	MANHOLE COVER	MANHOLE COVER card image	Card-Jitsu Cards full 26	Water	Burbank 4	Purple	1	"When you lift this manhole cover up, you'll see that it leads down to the pool ," explains the Tour Guide. "And since we're not using out maps right now, shall we continue?"
27	NEWSPAPER ARCHIVES	NEWSPAPER ARCHIVES card image	Card-Jitsu Cards full 27	Water	Burbank 6	Purple	1	"Sometimes I don't get a chance to read the newspaper , so I catch up with the past issues in the Boiler Room," says the lime green penguin. "I don't want to miss any comics!"
28	UNDERGROUND POOL	UNDERGROUND POOL card image	Card-Jitsu Cards full 28	Water	Burbank 2	Red	1	"Hey, do you remember when there wasn't a pool in here?" asks one of the penguins. "I remember a party where we were dancing on the ground in this very spot!"
29	SCUBA DIVING	SCUBA DIVING card image	Card-Jitsu Cards full 29	Water	Burbank 7	Red	1	"While Rockhopper travels at seas to find treasures, I prefer to search at home," the diver explains. "See! Check it out! A coral crown thing ! Diving totally rules."
30	ICE FISHING	ICE FISHING card image	Card-Jitsu Cards full 30	Water	Burbank 2	Yellow	1	"I think the last time I was here, I caught about 10 fish," he replies. "I'm not in a rush when I go fishing. To me, it's about fun, not finance. If I need coins, I help at the Pet Shop."
31	CASE OF THE MISSING COINS	CASE OF THE MISSING COINS card image	Card-Jitsu Cards full 31	Fire	Burbank 2	Blue	1	"You totally saved my feathers there," sighs the relieved rookie agent . "I thought I was never going to get back into the vault after I closed the door! Oops, I guess!"
